num_games,votes_up
99,5.615598598804863
98,4.817764867757224
97,5.5639349489795915
96,5.606405163853029
95,5.0779446013577125
94,4.810289935051152
93,4.2963825873697115
92,5.783628530397319
91,5.093548521276153
90,5.494668670387863
89,5.9098946348552746
88,5.430850453345576
87,5.219005616495156
86,3.7290222943808655
85,5.768305612616792
84,5.4828764893547755
83,5.537603717225357
82,4.88727051012804
81,4.743622489703394
80,5.260016000984676
79,4.428240450845335
78,4.49866764678857
77,5.5647368273777875
76,4.965646299902629
75,6.284836012191628
74,4.481263057678576
73,4.751317719936967
72,4.816107776323509
71,5.04190964744598
70,4.69073665537083
69,5.327937300272912
68,5.4685147541716
67,5.057164459515191
66,5.807037221668328
65,4.6704068469870395
64,4.970165505226481
63,5.1967464866698805
62,4.303598079948368
61,4.731773194682924
60,4.85081317764804
59,5.111083788258824
58,4.1533944891672485
57,5.0453874422841345
56,4.670511465465742
55,6.004356507533128
54,5.302312725968865
53,4.846970160978922
52,4.516641888000429
51,4.158074444551313
50,4.533222286183204
49,4.477137006290542
48,4.075505116027211
47,4.131392502898364
46,4.483581577027085
45,4.241287882789145
44,4.394444389855656
43,4.063594027557732
42,3.955647373170775
41,4.030473675466286
40,4.265032214877416
39,3.8384168511876067
38,3.940183039745336
37,3.7112934181854915
36,3.8033426541501414
35,3.5272309557459294
34,3.6349034537672935
33,3.771745129340273
32,3.57949325652202
31,3.709962113746359
30,3.522517000088312
29,3.6520989074180563
28,3.4878105334427767
27,3.585880647061489
26,3.383368654674098
25,3.2452076122446476
24,3.064046511447148
23,3.1235553725694145
22,2.9906312530998274
21,2.8401796646304236
20,2.790642561912789
19,2.7495371448532837
18,2.7689794798993352
17,2.5167957014391233
16,2.5080762097454055
15,2.5719573273441885
14,2.4058768244139763
13,2.2406312491142986
12,2.1268105052173896
11,2.064855929507131
10,1.9885965941306432
9,1.7502300842462317
8,1.7254794474098396
7,1.594664401153416
6,1.4711568332991563
5,1.3698824786570831
4,1.1540512077930627
3,1.0371525139244946
2,0.8702364921216756
1,0.7692915561161991
0,0.5950087882717715
